rank,fips,county,diag_diabetes_pct,diag_diabetes_pct_low,diag_diabetes_pct_high,TotalPop18plus,obesity_pct,inactive_pct,pct_novehicle_low_access,pct_lowincome_low_access,pct_low_food_access,border
83,48201,Harris,13.2,11.6,14.9,"3,595,915",37.1,26.9,0.897313952,6.815504074,20.88797569,0
84,48271,Kinney,13.2,11.4,15.2,"2,597",38.4,30.5,0.249016389,24.60440063,46.52545547,1
85,48293,Limestone,13.1,11.4,15.0,"17,239",39.9,31.2,3.519669533,7.770275116,17.41661644,0
86,48243,Jeff Davis,13.1,11.3,15.1,"1,764",38.0,30.0,2.517326593,4.573974133,29.42925072,1
87,48227,Howard,13.1,11.3,15.0,"23,509",38.2,31.9,3.342938185,15.81011772,43.92189789,0
88,48123,DeWitt,13.1,11.3,15.0,"15,349",37.5,31.3,3.255022049,1.736751676,5.486621857,0
89,48005,Angelina,13.0,11.3,14.8,"65,255",41.0,32.5,3.047790766,9.801262856,23.55419159,0
90,48001,Anderson,13.0,11.2,14.9,"46,379",39.5,30.1,4.146503925,11.75630474,32.46712875,0
91,48501,Yoakum,13.0,11.3,15.1,"5,012",38.2,32.2,1.964092255,8.334054947,33.14715576,0
92,48347,Nacogdoches,13.0,11.1,14.9,"50,065",35.4,30.5,4.307230949,9.916318893,22.52981758,0
93,48027,Bell,13.0,11.4,14.7,"285,194",43.5,29.8,1.841414332,14.800807,42.99014664,0
94,48003,Andrews,12.9,11.2,14.9,"12,871",36.6,31.5,1.755324244,9.504055977,26.79100609,0
95,48219,Hockley,12.9,11.1,14.8,"15,783",36.4,31.6,2.547813416,18.05722618,47.73984909,0
96,48253,Jones,12.9,11.1,14.8,"16,924",38.8,30.7,3.199981689,10.74888229,25.10399818,0
97,48469,Victoria,12.9,11.2,14.7,"68,723",37.6,30.9,1.985913515,9.548999786,24.44459534,0
98,48481,Wharton,12.9,11.2,14.8,"31,173",40.5,31.1,2.878980398,5.447557449,13.54695225,0
99,48313,Madison,12.9,11.2,14.8,"10,656",38.0,31.5,2.553332329,16.59996986,30.96012115,0
100,48241,Jasper,12.9,11.1,14.8,"25,039",41.2,31.6,5.450719833,7.645610809,17.87756729,0
101,48315,Marion,12.8,11.1,14.7,"7,838",39.1,30.0,6.053030968,3.205780506,7.825022697,0
102,48407,San Jacinto,12.7,11.0,14.5,"22,772",39.1,30.5,4.876223087,2.94901228,8.144462585,0
103,48087,Collingsworth,12.7,11.5,14.1,"1,897",39.1,30.8,0.977146685,2.64530158,7.358327866,0
104,48457,Tyler,12.7,10.8,14.7,"16,475",39.4,31.6,4.102041245,15.11583519,44.19147873,0
105,48095,Concho,12.7,11.6,13.9,"2,894",37.7,31.0,0.421259433,10.61198521,26.7253418,0
106,48073,Cherokee,12.6,10.8,14.4,"39,032",35.9,30.7,3.832359552,15.78588104,34.26974869,0
107,48385,Real,12.6,10.8,14.5,"2,328",38.4,31.5,4.378306389,45.17724991,100.0,1
108,48373,Polk,12.5,10.9,14.4,"43,059",38.3,31.1,3.306973219,3.893228054,8.135548592,0
109,48275,Knox,12.5,11.4,13.7,"2,408",38.0,30.6,2.945522547,21.05708122,47.13617325,0
110,48113,Dallas,12.5,11.0,14.1,"1,960,720",35.7,30.8,1.20411706,7.253475666,18.00843239,0
111,48387,Red River,12.5,10.8,14.3,"9,261",38.7,29.8,4.131706715,26.98181343,58.82913589,0
112,48343,Morris,12.5,10.8,14.3,"9,326",39.1,29.7,2.954556942,0.77495712,2.069875479,0
113,48041,Brazos,12.5,10.8,14.4,"195,226",32.8,26.9,1.507214785,15.04926968,32.50899124,0
114,48179,Gray,12.4,10.6,14.3,"15,662",38.5,30.8,0.829684436,6.988669395,20.55092812,0
115,48325,Medina,12.4,10.7,14.1,"42,472",39.6,29.6,2.493435621,4.932196617,16.70710945,1
116,48287,Lee,12.4,10.7,14.3,"14,389",39.6,30.4,2.602593184,6.441043377,15.51128292,0
117,48415,Scurry,12.4,10.7,14.2,"11,981",38.6,30.5,2.292007923,2.624215841,10.02588463,0
118,48185,Grimes,12.3,10.7,14.0,"25,008",37.1,29.0,4.323743343,10.883708,31.28612137,0
119,48207,Haskell,12.3,10.6,14.1,"4,416",36.9,30.6,4.743182182,14.87397671,38.13853455,0
120,48165,Gaines,12.3,10.7,14.1,"14,406",36.5,32.5,0.904007316,1.132925034,3.213600397,0
121,48395,Robertson,12.3,10.7,14.1,"13,118",38.0,29.7,4.768206596,14.8417654,39.63476563,0
122,48195,Hansford,12.3,10.5,14.2,"3,618",37.4,30.5,4.367228985,14.6101923,34.41468811,0
123,48183,Gregg,12.3,10.6,14.1,"93,766",37.2,28.7,2.529677391,10.66113186,23.49523544,0
124,48401,Rusk,12.2,10.5,13.9,"41,108",37.5,29.0,3.523730516,10.80805206,26.92325974,0
125,48125,Dickens,12.2,10.5,14.0,"1,399",38.1,29.8,1.092770219,5.555105209,19.84283638,0
126,48309,McLennan,12.2,10.6,13.9,"204,435",36.1,28.1,4.192082882,20.49243546,43.96932602,0
127,48057,Calhoun,12.2,10.6,13.9,"15,174",35.1,30.0,2.59345293,20.10328674,55.81444168,0
128,48473,Waller,12.2,10.6,14.0,"48,491",38.6,28.3,2.812302113,11.42485714,17.70019913,0
129,48269,King,12.2,10.4,14.1,168,37.8,29.1,0.0,26.55172348,100.0,0
130,48239,Jackson,12.1,10.4,13.8,"11,330",38.1,30.2,2.016932487,3.98435235,19.87562561,0
131,48295,Lipscomb,12.1,10.4,14.0,"2,179",36.9,29.2,2.222681999,28.18438911,99.9995575,0
132,48037,Bowie,12.1,10.4,13.9,"69,941",36.9,28.2,1.908926487,10.67125225,28.27620316,0
133,48327,Menard,12.1,10.4,13.9,"1,592",37.6,30.0,2.60246706,6.879956245,20.18120575,0
134,48303,Lubbock,12.0,10.4,13.8,"245,983",37.1,28.6,1.646282434,9.051574707,19.93244171,0
135,48411,San Saba,12.0,11.0,13.1,"4,743",37.0,29.8,1.735724688,17.40410233,37.28669357,0
136,48067,Cass,12.0,10.4,13.8,"22,102",39.3,28.6,4.462496281,5.115977287,10.68388939,0
137,48021,Bastrop,12.0,10.3,13.8,"82,035",40.1,30.8,2.457472086,10.92185116,29.30428886,0
138,48075,Childress,12.0,10.4,13.8,"5,492",37.3,29.8,3.302947521,20.44788551,53.40185547,0
139,48203,Harrison,11.9,10.3,13.8,"53,891",39.2,28.7,2.346112967,4.805274963,13.79162121,0
140,48451,Tom Green,11.9,10.2,13.6,"90,938",37.5,28.6,2.349422216,17.54880714,41.20658493,0
141,48307,McCulloch,11.9,10.2,13.7,"5,892",36.7,30.1,3.391548395,22.66822815,40.88124847,0
142,48161,Freestone,11.9,10.2,13.8,"15,822",38.2,28.4,3.63120532,7.218774319,17.38473511,0
143,48331,Milam,11.9,10.3,13.6,"20,070",37.3,29.5,4.17404604,12.07387638,26.78658295,0
144,48197,Hardeman,11.9,10.3,13.5,"2,702",38.0,29.3,1.685798526,10.11448193,25.8439827,0
145,48413,Schleicher,11.9,10.8,13.0,"1,809",36.4,29.1,0.936944246,5.120375633,10.5318327,0
146,48277,Lamar,11.9,10.2,13.8,"38,549",38.7,28.8,2.96524477,14.54977417,31.22830009,0
147,48081,Coke,11.8,10.1,13.5,"2,630",37.0,29.1,3.555095196,36.0412941,99.97629547,0
148,48483,Wheeler,11.8,10.8,12.8,"3,606",37.3,29.2,1.146026611,2.773734331,11.46669483,0
149,48455,Trinity,11.8,10.1,13.4,"11,401",37.8,29.1,3.876574516,3.968203545,8.206377029,0
150,48429,Stephens,11.8,10.2,13.5,"7,416",37.0,28.9,2.506290436,13.7757082,27.64224052,0
151,48399,Runnels,11.8,10.2,13.6,"7,542",36.1,29.4,1.682899237,13.80655193,35.09721756,0
152,48237,Jack,11.8,10.1,13.6,"6,909",37.9,29.5,2.516794205,18.02354622,46.32151794,0
153,48015,Austin,11.8,10.2,13.6,"24,216",37.5,28.6,2.443660736,2.565296888,8.025140762,0
154,48423,Smith,11.7,10.0,13.5,"186,274",37.9,26.4,2.33782649,7.705276966,20.73150253,0
155,48267,Kimble,11.7,10.0,13.4,"3,628",37.5,28.7,1.426379561,7.353768826,23.91500664,0
156,48175,Goliad,11.6,10.0,13.3,"5,744",37.1,28.1,1.437142015,9.645019531,36.80334091,0
